UMLS_pt,UMLS_pt_UI,pt
"Optic Neuropathy, Ischemic",C0155305,Memory impairment
Abnormal hair growth,C0232409,Optic ischaemic neuropathy
Madarosis of eyelid,C0271321,Hair growth abnormal
Completed Suicide,C0852733,Madarosis
Squamous cell carcinoma of skin,C0553723,Completed suicide
"Shock, Cardiogenic",C0036980,Squamous cell carcinoma of skin
Activities of daily living impaired,C0740765,Cardiogenic shock
Increased bilirubin level (finding),C0311468,Activities of daily living impaired
Chronic Liver Failure,C2936476,Blood bilirubin increased
Hematocrit decreased,C0744727,Chronic hepatic failure
Hemoglobin below reference range,C0162119,Haematocrit decreased
Red blood cell count low (finding),C0427457,Haemoglobin decreased
White blood cell count decreased,C0750394,Red blood cell count decreased
Quality of life decreased,C1963786,White blood cell count decreased
Ligament rupture,C0262538,Quality of life decreased
Drug effect incomplete,C0541907,Ligament rupture
Tinea Pedis,C0040259,Drug effect incomplete
Malignant neoplasm of breast,C0006142,Tinea pedis
Injection site mass,C0151775,Breast cancer
Vitamin D abnormal,C0919767,Injection site mass
Cyst,C0010709,Vitamin D abnormal
Synovial Cyst,C0085648,Cyst
Injection site discolouration,C0948991,Synovial cyst
Erythema at injection site,C0581287,Injection site discolouration
Injection site induration,C0521509,Injection site erythema
Injection site itching,C0852995,Injection site induration
Baresthesia,C0234222,Injection site pruritus
Glioblastoma,C0017636,Sensation of pressure
Inflammation,C0021368,Glioblastoma
Nasal congestion (finding),C0027424,Inflammation
Retching,C0232602,Nasal congestion
Seasonal rhinitis,C1322281,Retching
Injection Site Reaction,C0151735,Rhinitis seasonal
Appendicitis,C0003615,Injection site reaction
Ankle deformity,C1396651,Appendicitis
Acquired deformity of finger,C0410740,Ankle deformity
Deformity of knee joint,C0576091,Finger deformity
Macular degeneration,C0024437,Knee deformity
Nodule,C0028259,Macular degeneration
Flatulence,C0016204,Nodule
Cystitis,C0010692,Flatulence
Renal pain,C0558489,Cystitis
Cold Sensation,C0234192,Renal pain
Blood creatine increased,C0854029,Feeling cold
Influenza,C0021400,Blood creatine increased
Ocular hyperemia,C0155169,Influenza
Hemorrhage,C0019080,Ocular hyperaemia
Injection site inflammation,C0151734,Haemorrhage
Anorectal discomfort,C2242737,Injection site inflammation
Bacterial gastroenteritis,C0558348,Anorectal discomfort
Operative Surgical Procedures,C0543467,Gastroenteritis bacterial
Abnormal coordination,C0520966,Surgery
Dysarthria,C0013362,Coordination abnormal
Erythematous rash,C0234913,Dysarthria
Decreased diastolic arterial pressure,C0277890,Rash erythematous
Blood urea increased,C0151539,Blood pressure diastolic decreased
Duodenal ulcer with hemorrhage,C0151966,Blood urea increased
Faeces discoloured,C0235315,Duodenal ulcer haemorrhage
Echocardiogram abnormal (finding),C0476369,Faeces discoloured
Fracture of clavicle,C0159658,Echocardiogram abnormal
Bacterial osteomyelitis,C0276084,Clavicle fracture
malar rash,C0277942,Osteomyelitis bacterial
Celiac Disease,C0007570,Butterfly rash
Disease Exacerbation,C0235874,Coeliac disease
Economic problem,C0337629,Condition aggravated
Increased appetite (finding),C0232461,Economic problem
Loss of job,C0425083,Increased appetite
Mucosal atrophy,C2242595,Loss of employment
"Blindness, Transient",C0155003,Mucosal atrophy
Corneal dystrophy,C0010036,Blindness transient
Diplopia,C0012569,Corneal dystrophy
Heterophoria,C4721400,Diplopia
Raised intraocular pressure (finding),C0234708,Heterophoria
Impaired pupillary reflex,C0235802,Intraocular pressure increased
Anemia due to blood loss,C0948824,Pupillary reflex impaired
Electromechanical dissociation,C0340861,Haemorrhagic anaemia
Renal tubular necrosis,C1720775,Pulseless electrical activity
Acidosis,C0001122,Renal tubular necrosis
Hepatic Encephalopathy,C0019151,Acidosis
Eye pain,C0151827,Hepatic encephalopathy
Sees haloes around lights,C0422974,Eye pain
Fibrin D dimer increased,C0855429,Halo vision
Traumatic injury,C3263723,Fibrin D dimer increased
Brain Death,C0006110,Injury
Cyanosis,C0010520,Brain death
Respiratory Failure,C1145670,Cyanosis
Tracheal oedema,C4721644,Respiratory failure
Aphonia,C0003564,Tracheal oedema
Nasal discharge discolouration,C3203645,Aphonia
Blood testosterone increased,C0853118,Nasal discharge discolouration
Fever,C0015967,Blood testosterone increased
Breast Diseases,C0006145,Body temperature increased
Liver enzymes abnormal,C0438237,Breast disorder
Hay fever,C0018621,Hepatic enzyme abnormal
Atrial Septal Defects,C0018817,Seasonal allergy
Congenital atresia of aorta,C0265889,Atrial septal defect
Hypoplastic Left Heart Syndrome,C0152101,Congenital aortic atresia
Right hypoplastic heart syndrome,C0344963,Hypoplastic left heart syndrome
Diseases of mitral valve,C0026265,Hypoplastic right heart syndrome
Patent ductus arteriosus,C0013274,Mitral valve disease
Pericardial effusion,C0031039,Patent ductus arteriosus
Constipation,C0009806,Pericardial effusion
Benign neoplasm of lung,C0345963,Constipation
Blood urine present,C0947999,Benign lung neoplasm
Epistaxis,C0014591,Blood urine present
Blood iron decreased,C0853785,Epistaxis
Cytology abnormal,C1167794,Blood iron decreased
Intolerance to drug,C0277585,Cytology abnormal
Gastric ulcer,C0038358,Drug intolerance
Hypokinesia,C0086439,Gastric ulcer
Musculoskeletal Diseases,C0026857,Hypokinesia
Injury of kidney,C0160420,Musculoskeletal disorder
Blood pressure inadequately controlled,C0919892,Renal injury
Dilatation of aorta,C0265004,Blood pressure inadequately controlled
Aortic Valve Insufficiency,C0003504,Aortic dilatation
Aortic valve sclerosis,C1455780,Aortic valve incompetence
Asthma,C0004096,Aortic valve sclerosis
Biopsy of breast,C0405352,Asthma
Cardiomegaly,C0018800,Biopsy breast
Cholecystectomy procedure,C0008320,Cardiomegaly
Endodontic procedure,C0700632,Cholecystectomy
Overactive Bladder,C0878773,Endodontic procedure
Kyphoscoliosis deformity of spine,C0575158,Hypertonic bladder
Leukocytosis,C0023518,Kyphoscoliosis
Low turnover osteopathy,C1328361,Leukocytosis
Mitral Valve Prolapse Syndrome,C0026267,Low turnover osteopathy
Neurostimulator implantation,C2609187,Mitral valve prolapse
Esophageal Stenosis,C0014866,Neurostimulator implantation
Open reduction of fracture,C0185373,Oesophageal stenosis
Pulmonary Hypertension,C0020542,Open reduction of fracture
Pyelonephritis,C0034186,Pulmonary hypertension
Radiculopathy,C0700594,Pyelonephritis
Rhinitis,C0035455,Radicular syndrome
Urinary Stress Incontinence,C0042025,Rhinitis
Congenital tricuspid valve incompetence,C2242544,Stress urinary incontinence
upper airway cough syndrome,C2938875,Tricuspid valve incompetence
Wound infection staphylococcal,C1167765,Upper-airway cough syndrome
Superficial Thrombophlebitis,C1510431,Wound infection staphylococcal
Death (finding),C1306577,Thrombophlebitis superficial
Blood testosterone decreased,C0853117,Death
"Acidosis, Lactic",C0001125,Blood testosterone decreased
Decreased HDL cholesterol concentration,C0151691,Lactic acidosis
Low density lipoprotein increased,C0549399,High density lipoprotein decreased
Humeral Fractures,C0020162,Low density lipoprotein increased
Bone necrosis,C0029445,Humerus fracture
Postoperative adhesion,C0001510,Osteonecrosis
Leukopenia,C0023530,Postoperative adhesion
Anhedonia,C0178417,Leukopenia
Urinary Incontinence,C0042024,Anhedonia
Eyelid irritation,C1112366,Urinary incontinence
Edema of eyelid,C0162285,Eyelid irritation
Fear (Mental Process),C0015726,Eyelid oedema
Growth of eyelashes,C0423847,Fear
Hair Diseases,C0018500,Growth of eyelashes
Paralysed,C0522224,Hair disorder
Reading disorder,C5848227,Paralysis
Tooth Diseases,C0040435,Reading disorder
Alcohol poisoning,C0392620,Tooth disorder
Alcohol Withdrawal Delirium,C0001957,Alcohol poisoning
Mastoid effusion,C2609130,Delirium tremens
Sinus Tachycardia,C0039239,Mastoid effusion
Squamous cell carcinoma of lung,C0149782,Sinus tachycardia
Encephalopathies,C0085584,Squamous cell carcinoma of lung
Anemia of chronic disease,C0002873,Encephalopathy
Calcification of breast,C0587094,Anaemia of chronic disease
Spinal stenosis in cervical region,C0158280,Breast calcifications
Cyst removal,C0742962,Cervical spinal stenosis
Exposed bone in jaw,C3160827,Cyst removal
Operative procedure on foot,C0188413,Exposed bone in jaw
Gangrene,C0017086,Foot operation
Loin abscess,C0263109,Gangrene
Arthroplasty,C0003893,Groin abscess
Laminoplasty,C1535956,Joint arthroplasty
Monoclonal Gammapathies,C1136085,Laminaplasty
Operation on neck,C0185773,Monoclonal gammopathy
Acute osteomyelitis,C0158371,Neck surgery
Radiculopathy,C0700594,Osteomyelitis acute
Operative procedure on spine,C0185908,Radiculopathy
Stress Fractures,C0016664,Spinal operation
Amputation of toe (procedure),C0188602,Stress fracture
Blood Transfusion,C0005841,Toe amputation
treatment failure,C0162643,Transfusion
Infective vaginitis,C0404521,Treatment failure
Vaginal lesion,C0566943,Vaginal infection
CSF white blood cell count increased,C0860829,Vaginal lesion
Food craving,C0872380,White blood cell count increased
Cardiac neoplasm unspecified,C0948079,Food craving
Increased tendency to bruise,C0423798,Cardiac neoplasm unspecified
Photophobia,C0085636,Increased tendency to bruise
Angina Pectoris,C0002962,Photophobia
Facial Injuries,C0015459,Angina pectoris
Traffic accident on public road,C0221706,Face injury
Shock,C0036974,Road traffic accident
Antipsychotic drug level increased,C1504424,Shock
Differential white blood cell count abnormal,C0860796,Antipsychotic drug level increased
Empyema,C0014009,Differential white blood cell count abnormal
Lower respiratory tract infection,C0149725,Empyema
Neutrophilia (finding),C0151683,Lower respiratory tract infection
Heart failure,C0018801,Neutrophil count increased
Age related macular degeneration,C0242383,Cardiac failure
Arthropod sting,C0852932,Age-related macular degeneration
Benign Prostatic Hyperplasia,C1704272,Arthropod sting
Bunion operation,C0852741,Benign prostatic hyperplasia
Cataract operation,C1504458,Bunion operation
Colectomy,C0009274,Cataract operation
Malignant neoplasm of colon stage IV,C0278484,Colectomy
Compression fracture,C0521169,Colon cancer metastatic
Unilateral deafness,C2607947,Compression fracture
Pulmonary Emphysema,C0034067,Deafness unilateral
Hypervolemia (finding),C0546817,Emphysema
Foot Deformities,C0016506,Fluid overload
Narrowing of intervertebral disc space,C0263870,Foot deformity
Intramedullary rod insertion,C2609146,Intervertebral disc space narrowing
Metastatic malignant neoplasm to liver,C0494165,Intramedullary rod insertion
Secondary malignant neoplasm of lung,C0153676,Metastases to liver
Onychomycosis,C0040261,Metastases to lung
Pharyngeal Diseases,C0031345,Onychomycosis
Pulmonary Fibrosis,C0034069,Pharyngeal disorder
Seborrheic keratosis,C0022603,Pulmonary fibrosis
Small bowel obstruction,C0235329,Seborrhoeic keratosis
Acute pyelonephritis,C0520575,Small intestinal obstruction
Acquired phimosis,C0403766,Pyelonephritis acute
Aortic Valve Stenosis,C0003507,Acquired phimosis
Aortic valve disorder,C1260873,Aortic stenosis
Cerebral Arteriosclerosis,C0877854,Aortic valve disease
Dyslipidemias,C0242339,Cerebral arteriosclerosis
Eczema,C0013595,Dyslipidaemia
Ejection Fraction Decreased,C0743400,Eczema
Idiopathic erosive/hemorrhagic gastritis,C2243088,Ejection fraction decreased
Gastrointestinal angiodysplasia,C0854242,Gastritis erosive
Congenital heart valve incompetence,C4087401,Gastrointestinal angiodysplasia
Hiatal Hernia,C3489393,Heart valve incompetence
Infected dermal cyst,C3203532,Hiatus hernia
Ischemic cardiomyopathy,C0349782,Infected dermal cyst
Edema of penis (disorder),C0156308,Ischaemic cardiomyopathy
Generalized pruritus,C0475858,Penile oedema
Edema of scrotum,C0151609,Pruritus generalised
Urinary hesitation,C0152032,Scrotal oedema
"Dementia, Vascular",C0011269,Urinary hesitation
Aura,C0236018,Vascular dementia
Circumstance or information capable of leading to medication error,C1536020,Aura
Hemorrhagic Stroke,C5234922,Circumstance or information capable of leading to medication error
"Hallucinations, Auditory",C0233762,Haemorrhagic stroke
Hemiparesis,C0018989,"Hallucination, auditory"
Muscle tightness,C0877322,Hemiparesis
Staphylococcal sepsis,C0152965,Muscle tightness
Gastrointestinal inflammation,C1535950,Staphylococcal sepsis
Palmar-plantar erythrodysesthesia syndrome,C0549410,Gastrointestinal inflammation
Stomatitis,C0038362,Palmar-plantar erythrodysaesthesia syndrome
Impaired glucose tolerance (disorder),C0271650,Stomatitis
Emotional disorder,C0233459,Glucose tolerance impaired
Gout,C0018099,Emotional disorder
Abasia (gait ataxia),C0877217,Gout
Dysgraphia,C0234144,Abasia
Bleeding ulcer,C0333291,Dysgraphia
Learning Disorders,C0023186,Ulcer haemorrhage
Restlessness,C3887611,Learning disorder
Substance Withdrawal Syndrome,C0038587,Restlessness
Large prostate,C0426732,Withdrawal syndrome
Feeling jittery,C0549209,Prostatomegaly
VIIth nerve paralysis,C0919980,Feeling jittery
"Leukemia, Myelocytic, Acute",C0023467,VIIth nerve paralysis
"Purpura, Thrombotic Thrombocytopenic",C0034155,Acute myeloid leukaemia
Disease Progression,C0242656,Thrombotic thrombocytopenic purpura
Squamous cell carcinoma of tongue,C0349566,Disease progression
Replacement of aortic valve (procedure),C0003506,Squamous cell carcinoma of the tongue
Permanent cardiac pacemaker insertion,C0189844,Aortic valve replacement
Decompression of median nerve,C0196576,Cardiac pacemaker insertion
"Fracture Fixation, Internal",C0016642,Carpal tunnel decompression
Limb crushing injury,C1535915,Internal fixation of fracture
Cardiopulmonary Arrest,C0600228,Limb crushing injury
Flushing,C0016382,Cardio-respiratory arrest
Amylase increased,C0151479,Flushing
Hypokinesia,C0086439,Amylase increased
Food intolerance (disorder),C0149696,Decreased activity
Hypophagia,C1504561,Food intolerance
Lipase increased,C0549475,Hypophagia
Nuclear magnetic resonance imaging spinal abnormal,C2721681,Lipase increased
Pancreatic duct obstruction,C0341491,Nuclear magnetic resonance imaging abnormal
Limb discomfort,C0854303,Pancreatic duct obstruction
Metastatic malignant neoplasm to brain,C0220650,Limb discomfort
Malignant neoplasm of lung,C0242379,Brain cancer metastatic
melanoma,C0025202,Lung neoplasm malignant
Choking,C0008301,Malignant melanoma
Sensory Disorders,C0152027,Choking
Initial insomnia,C0393760,Sensory disturbance
Decreased urine output,C3887784,Initial insomnia
Leriche Syndrome,C0023370,Urine output decreased
Cleft palate with cleft lip,C0158646,Leriche syndrome
Dental caries,C0011334,Cleft lip and palate
Arterial Occlusive Diseases,C0003838,Dental caries
Bronchial Obstruction,C0221725,Arterial occlusive disease
Gastrointestinal infection,C4082764,Bronchial obstruction
Steatohepatitis,C2711227,Gastrointestinal infection
Erythrocyanosis,C0264946,Hepatic steatosis
Cold extremity,C0277925,Erythrocyanosis
Gastrointestinal ulcer,C0237938,Peripheral coldness
Hypomania,C0241934,Gastrointestinal ulcer
Abnormal blood pressure,C0005826,Hypomania
Gastroenteritis,C0017160,Blood pressure abnormal
Genital rash,C0239729,Gastroenteritis
Intervertebral Disk Displacement,C0021818,Genital rash
Sneezing,C0037383,Intervertebral disc protrusion
Anger,C0002957,Sneezing
Frustration,C0016770,Anger
Arthroscopy,C0003904,Frustration
Repair of eyelid,C0197213,Arthroscopy
Bone lesion,C0238792,Blepharoplasty
Bundle-Branch Block,C0006384,Bone lesion
Electrocardiogram ST-T segment abnormal,C0948376,Bundle branch block
Hydrarthrosis,C1253936,Electrocardiogram ST-T segment abnormal
Menopausal symptom,C0236075,Joint effusion
Patellofemoral Pain Syndrome,C0877149,Menopausal symptoms
Skin irritation,C0152030,Patellofemoral pain syndrome
Tooth Extraction,C0040440,Skin irritation
Diffuse Large B-Cell Lymphoma,C0079744,Tooth extraction
"Angina, Unstable",C0002965,Diffuse large B-cell lymphoma
Throat irritation,C0700184,Angina unstable
Movement Disorders,C0026650,Throat irritation
Urinary Bladder Diseases,C0005686,Movement disorder
Congenital cystic kidney disease,C0311245,Bladder disorder
Acne,C0702166,Congenital cystic kidney disease
Skin tag,C0037293,Acne
Bulla,C0005758,Acrochordon
Morbilliform rash,C0234918,Blister
Burning sensation of skin,C0241057,Rash morbilliform
